step,nodes,merges_this_step,cumulative_merges,u,mean_mass
115,93122,38,4438,0.07887253856543684,1.0476579111273383
116,93084,38,4476,0.07954787801236937,1.0480856001031327
117,93046,38,4514,0.08022321745930192,1.0485136384154075
118,93008,38,4552,0.08089855690623445,1.0489420264923448
119,92970,38,4590,0.08157389635316699,1.0493707647628268
120,92932,38,4628,0.08224923580009952,1.049799853656437
121,92894,38,4666,0.08292457524703206,1.050229293603462
122,92856,38,4704,0.08359991469396459,1.0506590850348927
123,92818,38,4742,0.08427525414089714,1.0510892283824258
124,92780,38,4780,0.08495059358782968,1.0515197240784653
125,92742,38,4818,0.08562593303476221,1.0519505725561233
126,92704,38,4856,0.08630127248169475,1.0523817742492234
127,92666,38,4894,0.08697661192862728,1.0528133295922992
128,92628,38,4932,0.08765195137555983,1.0532452390205986
129,92590,38,4970,0.08832729082249235,1.0536775029700831
130,92552,38,5008,0.0890026302694249,1.0541101218774311
131,92514,38,5046,0.08967796971635743,1.0545430961800377
132,92476,38,5084,0.09035330916328997,1.054976426316017
133,92439,37,5121,0.09101087651951376,1.0553986953558563
134,92402,37,5158,0.09166844387573754,1.0558213025692085
135,92365,37,5195,0.09232601123196132,1.056244248362475
136,92328,37,5232,0.09298357858818511,1.0566675331427087
137,92291,37,5269,0.0936411459444089,1.057091157317615
138,92254,37,5306,0.09429871330063269,1.0575151212955536
139,92217,37,5343,0.09495628065685648,1.0579394254855397
140,92180,37,5380,0.09561384801308026,1.0583640702972446
141,92143,37,5417,0.09627141536930404,1.0587890561409983
142,92106,37,5454,0.09692898272552783,1.0592143834277896
143,92069,37,5491,0.09758655008175161,1.0596400525692686
144,92032,37,5528,0.0982441174379754,1.0600660639777468
145,91995,37,5565,0.0989016847941992,1.0604924180661992
146,91958,37,5602,0.09955925215042298,1.0609191152482655
147,91921,37,5639,0.10021681950664676,1.0613461559382513
148,91884,37,5676,0.10087438686287055,1.0617735405511297
149,91847,37,5713,0.10153195421909433,1.0622012695025422
150,91810,37,5750,0.10218952157531812,1.0626293432088008
151,91773,37,5787,0.1028470889315419,1.0630577620868884
152,91736,37,5824,0.10350465628776569,1.0634865265544606
153,91699,37,5861,0.10416222364398948,1.0639156370298477
154,91662,37,5898,0.10481979100021327,1.0643450939320547
155,91625,37,5935,0.10547735835643705,1.064774897680764
156,91588,37,5972,0.10613492571266084,1.0652050486963358
157,91551,37,6009,0.10679249306888462,1.06563554739981
158,91514,37,6046,0.1074500604251084,1.0660663942129074
159,91477,37,6083,0.10810762778133219,1.066497589558031
160,91440,37,6120,0.10876519513755598,1.0669291338582678
161,91403,37,6157,0.10942276249377977,1.0673610275373893
162,91366,37,6194,0.11008032985000356,1.067793271019854
163,91329,37,6231,0.11073789720622734,1.0682258647308085
164,91292,37,6268,0.11139546456245113,1.0686588090960873
165,91255,37,6305,0.11205303191867491,1.0690921045422168
166,91218,37,6342,0.1127105992748987,1.0695257514964152
167,91181,37,6379,0.11336816663112248,1.0699597503865936
168,91144,37,6416,0.11402573398734628,1.0703941016413587
169,91107,37,6453,0.11468330134357006,1.0708288056900128
170,91070,37,6490,0.11534086869979385,1.0712638629625564
171,91033,37,6527,0.11599843605601763,1.0716992738896884
172,90996,37,6564,0.11665600341224142,1.0721350389028088
173,90959,37,6601,0.1173135707684652,1.0725711584340196
174,90922,37,6638,0.11797113812468898,1.073007632916126
175,90885,37,6675,0.11862870548091277,1.0734444627826374
176,90848,37,6712,0.11928627283713657,1.0738816484677702
177,90811,37,6749,0.11994384019336035,1.0743191904064486
178,90774,37,6786,0.12060140754958414,1.074757089034305
179,90737,37,6823,0.12125897490580792,1.0751953447876832
180,90700,37,6860,0.1219165422620317,1.0756339581036383
181,90663,37,6897,0.12257410961825549,1.0760729294199398
182,90626,37,6934,0.12323167697447927,1.076512259175071
183,90589,37,6971,0.12388924433070306,1.0769519478082328
184,90552,37,7008,0.12454681168692686,1.0773919957593427
185,90515,37,7045,0.12520437904315063,1.0778324034690383
186,90478,37,7082,0.12586194639937442,1.0782731713786777
187,90441,37,7119,0.1265195137555982,1.0787142999303414
188,90404,37,7156,0.127177081111822,1.0791557895668333
189,90367,37,7193,0.1278346484680458,1.079597640731683
190,90330,37,7230,0.12849221582426956,1.0800398538691465
191,90293,37,7267,0.12914978318049336,1.080482429424208
192,90256,37,7304,0.12980735053671713,1.0809253678425812
193,90219,37,7341,0.13046491789294093,1.0813686695707112
194,90182,37,7378,0.1311224852491647,1.081812335055776
195,90145,37,7415,0.1317800526053885,1.0822563647456875
196,90108,37,7452,0.1324376199616123,1.0827007590890931
197,90071,37,7489,0.13309518731783607,1.0831455185353775
198,90034,37,7526,0.13375275467405986,1.0835906435346647
199,89997,37,7563,0.13441032203028364,1.084036134537818
200,89961,36,7599,0.1350501172957987,1.0844699369726882
201,89925,36,7635,0.1356899125613137,1.0849040867389492
202,89889,36,7671,0.13632970782682874,1.0853385842539132
203,89853,36,7707,0.1369695030923438,1.0857734299355615
204,89817,36,7743,0.13760929835785882,1.0862086242025453
205,89781,36,7779,0.13824909362337384,1.0866441674741871
206,89745,36,7815,0.1388888888888889,1.087080060170483
207,89709,36,7851,0.13952868415440392,1.0875163027121024
208,89673,36,7887,0.14016847941991895,1.0879528955203908
209,89637,36,7923,0.140808274685434,1.08838983901737
210,89601,36,7959,0.14144806995094902,1.0888271336257407
211,89565,36,7995,0.14208786521646408,1.089264779768883
212,89529,36,8031,0.1427276604819791,1.0897027778708575
213,89493,36,8067,0.14336745574749413,1.0901411283564078
214,89457,36,8103,0.14400725101300918,1.0905798316509607
215,89421,36,8139,0.1446470462785242,1.0910188881806286
216,89385,36,8175,0.14528684154403923,1.09145829837221
217,89349,36,8211,0.14592663680955428,1.0918980626531913
218,89313,36,8247,0.1465664320750693,1.0923381814517483
219,89277,36,8283,0.14720622734058433,1.092778655196747
220,89241,36,8319,0.1478460226060994,1.0932194843177463
221,89205,36,8355,0.1484858178716144,1.0936606692449975
222,89169,36,8391,0.14912561313712946,1.0941022104094473
223,89133,36,8427,0.1497654084026445,1.0945441082427383
224,89097,36,8463,0.15040520366815952,1.0949863631772114
225,89061,36,8499,0.15104499893367457,1.0954289756459057
226,89025,36,8535,0.1516847941991896,1.095871946082561
227,88989,36,8571,0.15232458946470462,1.0963152749216196
228,88953,36,8607,0.15296438473021967,1.0967589625982261
229,88917,36,8643,0.1536041799957347,1.0972030095482304
230,88881,36,8679,0.15424397526124972,1.0976474162081884
231,88845,36,8715,0.15488377052676477,1.0980921830153638
232,88809,36,8751,0.1555235657922798,1.098537310407729
233,88773,36,8787,0.15616336105779485,1.0989827988239667
234,88737,36,8823,0.15680315632330988,1.0994286487034721
235,88701,36,8859,0.1574429515888249,1.099874860486353
236,88665,36,8895,0.15808274685433996,1.1003214346134327
237,88629,36,8931,0.15872254211985498,1.10076837152625
238,88593,36,8967,0.15936233738537,1.1012156716670618
239,88557,36,9003,0.16000213265088506,1.101663335478844
240,88521,36,9039,0.16064192791640008,1.1021113634052937
241,88485,36,9075,0.1612817231819151,1.1025597558908289
242,88449,36,9111,0.16192151844743016,1.1030085133805922
243,88413,36,9147,0.1625613137129452,1.1034576363204507
244,88377,36,9183,0.1632011089784602,1.1039071251569978
245,88341,36,9219,0.16384090424397527,1.1043569803375557
246,88305,36,9255,0.1644806995094903,1.104807202310175
247,88269,36,9291,0.16512049477500534,1.105257791523638
248,88233,36,9327,0.16576029004052037,1.105708748427459
249,88197,36,9363,0.1664000853060354,1.1061600734718868
250,88161,36,9399,0.16703988057155045,1.1066117671079048
251,88125,36,9435,0.16767967583706547,1.107063829787234
252,88089,36,9471,0.1683194711025805,1.1075162619623335
253,88053,36,9507,0.16895926636809555,1.1079690640864026
254,88017,36,9543,0.16959906163361058,1.1084222366133816
255,87981,36,9579,0.1702388568991256,1.108875779997954
256,87945,36,9615,0.17087865216464065,1.1093296946955484
257,87909,36,9651,0.17151844743015568,1.1097839811623382
258,87873,36,9687,0.17215824269567073,1.1102386398552457
259,87837,36,9723,0.17279803796118576,1.110693671231941
260,87801,36,9759,0.17343783322670078,1.1111490757508458
261,87765,36,9795,0.17407762849221584,1.1116048538711332
262,87729,36,9831,0.17471742375773086,1.1120610060527305
263,87693,36,9867,0.17535721902324589,1.1125175327563204
264,87657,36,9903,0.17599701428876094,1.1129744344433417
265,87621,36,9939,0.17663680955427596,1.113431711575992
266,87585,36,9975,0.177276604819791,1.113889364617229
267,87549,36,10011,0.17791640008530604,1.1143473940307713
268,87513,36,10047,0.17855619535082107,1.114805800281101
269,87477,36,10083,0.1791959906163361,1.1152645838334647
270,87442,35,10118,0.1798180137911424,1.1157109855675762
271,87407,35,10153,0.18044003696594868,1.1161577448030477
272,87372,35,10188,0.18106206014075496,1.1166048619695097
273,87337,35,10223,0.18168408331556124,1.1170523374972807
274,87302,35,10258,0.18230610649036752,1.1175001718173696
275,87267,35,10293,0.1829281296651738,1.1179483653614768
276,87232,35,10328,0.1835501528399801,1.1183969185619955
277,87197,35,10363,0.1841721760147864,1.1188458318520134
278,87162,35,10398,0.18479419918959267,1.1192951056653129
279,87127,35,10433,0.18541622236439895,1.1197447404363745
280,87092,35,10468,0.18603824553920523,1.1201947366003766
281,87057,35,10503,0.1866602687140115,1.1206450945931976
282,87022,35,10538,0.1872822918888178,1.121095814851417
283,86987,35,10573,0.1879043150636241,1.1215468978123169
284,86952,35,10608,0.18852633823843037,1.1219983439138834
285,86917,35,10643,0.18914836141323665,1.1224501535948088
286,86882,35,10678,0.18977038458804293,1.1229023272944914
287,86847,35,10713,0.19039240776284921,1.123354865453038
288,86812,35,10748,0.1910144309376555,1.1238077685112657
289,86777,35,10783,0.1916364541124618,1.1242610369107022
290,86742,35,10818,0.19225847728726808,1.1247146710935878
291,86707,35,10853,0.19288050046207436,1.1251686715028775
292,86672,35,10888,0.19350252363688064,1.125623038582241
293,86637,35,10923,0.19412454681168692,1.1260777727760656
294,86602,35,10958,0.1947465699864932,1.1265328745294565
295,86567,35,10993,0.1953685931612995,1.1269883442882391
296,86532,35,11028,0.1959906163361058,1.1274441824989598
297,86497,35,11063,0.19661263951091207,1.1279003896088882
298,86462,35,11098,0.19723466268571835,1.1283569660660175
299,86427,35,11133,0.19785668586052463,1.128813912319067
300,86392,35,11168,0.1984787090353309,1.129271228817483
301,86357,35,11203,0.1991007322101372,1.129728916011441
302,86322,35,11238,0.1997227553849435,1.1301869743518453
303,86287,35,11273,0.20034477855974978,1.1306454042903333
304,86252,35,11308,0.20096680173455606,1.1311042062792747
305,86217,35,11343,0.20158882490936234,1.1315633807717735
306,86182,35,11378,0.20221084808416862,1.1320229282216705
307,86147,35,11413,0.2028328712589749,1.1324828490835432
308,86112,35,11448,0.2034548944337812,1.132943143812709
309,86077,35,11483,0.20407691760858748,1.1334038128652253
310,86042,35,11518,0.20469894078339376,1.1338648566978917
311,86007,35,11553,0.20532096395820004,1.1343262757682515
312,85972,35,11588,0.20594298713300632,1.1347880705345927
313,85937,35,11623,0.2065650103078126,1.1352502414559502
314,85902,35,11658,0.20718703348261888,1.1357127889921073
315,85867,35,11693,0.2078090566574252,1.1361757136035961
316,85832,35,11728,0.20843107983223147,1.136639015751701
317,85797,35,11763,0.20905310300703775,1.137102695898458
318,85762,35,11798,0.20967512618184403,1.137566754506658
319,85727,35,11833,0.2102971493566503,1.1380311920398474
320,85692,35,11868,0.2109191725314566,1.1384960089623302
321,85657,35,11903,0.2115411957062629,1.138961205739169
322,85622,35,11938,0.21216321888106918,1.139426782836187
323,85587,35,11973,0.21278524205587546,1.139892740719969
324,85552,35,12008,0.21340726523068174,1.1403590798578642
325,85517,35,12043,0.21402928840548802,1.140825800717986
326,85482,35,12078,0.2146513115802943,1.1412929037692146
327,85447,35,12113,0.2152733347551006,1.141760389481199
328,85412,35,12148,0.21589535792990688,1.1422282583243573
329,85377,35,12183,0.21651738110471316,1.1426965107698794
330,85342,35,12218,0.21713940427951944,1.1431651472897284
331,85307,35,12253,0.21776142745432572,1.1436341683566413
332,85272,35,12288,0.218383450629132,1.1441035744441317
333,85237,35,12323,0.21900547380393828,1.1445733660264907
334,85202,35,12358,0.2196274969787446,1.1450435435787891
335,85167,35,12393,0.22024952015355087,1.1455141075768784
336,85132,35,12428,0.22087154332835715,1.1459850584973923
337,85097,35,12463,0.22149356650316343,1.1464563968177492
338,85062,35,12498,0.2221155896779697,1.146928123016153
339,85027,35,12533,0.222737612852776,1.1474002375715948
340,84992,35,12568,0.2233596360275823,1.1478727409638554
341,84958,34,12602,0.2239638871116798,1.1483321170460699
342,84924,34,12636,0.22456813819577734,1.148791860958033
343,84890,34,12670,0.22517238927987487,1.1492519731417128
344,84856,34,12704,0.2257766403639724,1.149712454039785
345,84822,34,12738,0.22638089144806994,1.1501733040956357
346,84788,34,12772,0.22698514253216748,1.1506345237533613
347,84754,34,12806,0.227589393616265,1.151096113457772
348,84720,34,12840,0.22819364470036255,1.151558073654391
349,84686,34,12874,0.22879789578446008,1.1520204047894576
350,84652,34,12908,0.22940214686855762,1.1524831073099278
351,84618,34,12942,0.23000639795265515,1.1529461816634758
352,84584,34,12976,0.23061064903675269,1.1534096282984962
353,84550,34,13010,0.23121490012085022,1.1538734476641042
354,84516,34,13044,0.23181915120494775,1.1543376402101377
355,84482,34,13078,0.2324234022890453,1.1548022063871595
356,84448,34,13112,0.23302765337314282,1.155267146646457
357,84414,34,13146,0.23363190445724036,1.1557324614400455
358,84380,34,13180,0.2342361555413379,1.1561981512206685
359,84346,34,13214,0.23484040662543543,1.1566642164417993
360,84312,34,13248,0.23544465770953296,1.157130657557643
361,84278,34,13282,0.2360489087936305,1.1575974750231377
362,84244,34,13316,0.236653159877728,1.1580646692939556
363,84210,34,13350,0.23725741096182554,1.158532240826505
364,84176,34,13384,0.23786166204592307,1.1590001900779319
365,84142,34,13418,0.2384659131300206,1.1594685175061206
366,84108,34,13452,0.23907016421411814,1.159937223569696
367,84074,34,13486,0.23967441529821568,1.1604063087280254
368,84040,34,13520,0.2402786663823132,1.1608757734412185
369,84006,34,13554,0.24088291746641075,1.1613456181701307
370,83972,34,13588,0.24148716855050828,1.1618158433763635
371,83938,34,13622,0.24209141963460581,1.1622864495222665
372,83904,34,13656,0.24269567071870335,1.1627574370709381
373,83870,34,13690,0.24329992180280088,1.1632288064862286
374,83836,34,13724,0.24390417288689842,1.1637005582327402
375,83802,34,13758,0.24450842397099595,1.1641726927758287
376,83768,34,13792,0.2451126750550935,1.1646452105816063
377,83734,34,13826,0.24571692613919102,1.1651181121169418
378,83700,34,13860,0.24632117722328856,1.1655913978494623
379,83666,34,13894,0.2469254283073861,1.1660650682475557
380,83632,34,13928,0.24752967939148363,1.166539123780371
381,83598,34,13962,0.24813393047558116,1.167013564917821
382,83564,34,13996,0.24873818155967867,1.1674883921305825
383,83530,34,14030,0.2493424326437762,1.1679636058900993
384,83496,34,14064,0.24994668372787374,1.168439206668583
385,83462,34,14098,0.25055093481197127,1.1689151949390142
386,83428,34,14132,0.25115518589606883,1.169391571175145
387,83394,34,14166,0.25175943698016634,1.1698683358515
388,83360,34,14200,0.2523636880642639,1.170345489443378
389,83326,34,14234,0.2529679391483614,1.1708230324268536
390,83292,34,14268,0.25357219023245897,1.1713009652787782
391,83258,34,14302,0.2541764413165565,1.171779288476783
392,83224,34,14336,0.254780692400654,1.172258002499279
393,83190,34,14370,0.25538494348475155,1.1727371078254598
394,83156,34,14404,0.25598919456884905,1.1732166049353023
395,83122,34,14438,0.2565934456529466,1.1736964943095691
396,83088,34,14472,0.2571976967370441,1.1741767764298094
397,83054,34,14506,0.2578019478211417,1.174657451778361
398,83020,34,14540,0.2584061989052392,1.1751385208383522
399,82986,34,14574,0.25901044998933676,1.1756199840937025
400,82952,34,14608,0.25961470107343426,1.1761018420291254
401,82918,34,14642,0.2602189521575318,1.1765840951301285
402,82884,34,14676,0.26082320324162933,1.1770667438830171
403,82850,34,14710,0.2614274543257269,1.1775497887748945
404,82816,34,14744,0.2620317054098244,1.1780332302936631
405,82782,34,14778,0.26263595649392196,1.1785170689280278
406,82748,34,14812,0.26324020757801947,1.1790013051674966
407,82714,34,14846,0.26384445866211703,1.1794859395023818
408,82680,34,14880,0.26444870974621454,1.1799709724238026
409,82646,34,14914,0.2650529608303121,1.1804564044236865
410,82612,34,14948,0.2656572119144096,1.1809422359947708
411,82578,34,14982,0.26626146299850717,1.1814284676306037
412,82544,34,15016,0.2668657140826047,1.1819150998255477
413,82510,34,15050,0.2674699651667022,1.1824021330747787
414,82476,34,15084,0.26807421625079975,1.1828895678742908
415,82443,33,15117,0.2686606952441885,1.1833630508351225
416,82410,33,15150,0.2692471742375773,1.1838369129959956
417,82377,33,15183,0.2698336532309661,1.1843111548126297
418,82344,33,15216,0.27042013222435485,1.184785776741475
419,82311,33,15249,0.27100661121774366,1.1852607792397127
420,82278,33,15282,0.2715930902111324,1.1857361627652592
421,82245,33,15315,0.27217956920452124,1.1862119277767647
422,82212,33,15348,0.27276604819791,1.1866880747336155
423,82179,33,15381,0.27335252719129877,1.187164604095937
424,82146,33,15414,0.2739390061846876,1.1876415163245928
425,82113,33,15447,0.27452548517807634,1.188118811881188
426,82080,33,15480,0.2751119641714651,1.1885964912280702
427,82047,33,15513,0.2756984431648539,1.1890745548283301
428,82014,33,15546,0.2762849221582427,1.1895530031458044
429,81981,33,15579,0.2768714011516315,1.1900318366450764
430,81948,33,15612,0.27745788014502026,1.1905110557914775
431,81915,33,15645,0.278044359138409,1.1909906610510896
432,81882,33,15678,0.27863083813179784,1.1914706528907453
433,81849,33,15711,0.2792173171251866,1.1919510317780302
434,81816,33,15744,0.27980379611857537,1.1924317981812849
435,81783,33,15777,0.2803902751119642,1.192912952569605
436,81750,33,15810,0.28097675410535294,1.1933944954128441
437,81717,33,15843,0.28156323309874176,1.1938764271816147
438,81684,33,15876,0.2821497120921305,1.1943587483472895
439,81651,33,15909,0.2827361910855193,1.1948414593820038
440,81618,33,15942,0.2833226700789081,1.1953245607586562
441,81585,33,15975,0.28390914907229686,1.19580805295091
442,81552,33,16008,0.2844956280656856,1.196291936433196
443,81519,33,16041,0.28508210705907444,1.1967762116807126
444,81486,33,16074,0.2856685860524632,1.197260879169428
445,81453,33,16107,0.286255065045852,1.1977459393760819
446,81420,33,16140,0.2868415440392408,1.1982313927781871
447,81387,33,16173,0.28742802303262954,1.1987172398540307
448,81354,33,16206,0.28801450202601836,1.1992034810826757
449,81321,33,16239,0.2886009810194071,1.1996901169439629
450,81288,33,16272,0.2891874600127959,1.200177147918512
451,81255,33,16305,0.2897739390061847,1.2006645744877238
452,81222,33,16338,0.29036041799957346,1.2011523971337814
453,81189,33,16371,0.2909468969929623,1.201640616339652
454,81156,33,16404,0.29153337598635104,1.2021292325890878
455,81123,33,16437,0.2921198549797398,1.2026182463666284
456,81090,33,16470,0.2927063339731286,1.2031076581576026
457,81057,33,16503,0.2932928129665174,1.2035974684481292
458,81024,33,16536,0.29387929195990614,1.2040876777251184
459,80991,33,16569,0.29446577095329496,1.204578286476275
460,80958,33,16602,0.2950522499466837,1.2050692951900985
461,80925,33,16635,0.29563872894007254,1.2055607043558851
462,80892,33,16668,0.2962252079334613,1.2060525144637295
463,80859,33,16701,0.29681168692685006,1.2065447260045263
464,80826,33,16734,0.2973981659202389,1.2070373394699725
465,80793,33,16767,0.29798464491362764,1.2075303553525676
466,80760,33,16800,0.2985711239070164,1.2080237741456166
467,80727,33,16833,0.2991576029004052,1.2085175963432309
468,80694,33,16866,0.299744081893794,1.2090118224403301
469,80661,33,16899,0.3003305608871828,1.209506452932644
470,80628,33,16932,0.30091703988057156,1.2100014883167138
471,80595,33,16965,0.3015035188739603,1.210496929089894
472,80562,33,16998,0.30208999786734914,1.2109927757503538
473,80529,33,17031,0.3026764768607379,1.2114890287970792
474,80496,33,17064,0.30326295585412666,1.2119856887298748
475,80463,33,17097,0.3038494348475155,1.2124827560493643
476,80430,33,17130,0.30443591384090424,1.2129802312569937
477,80397,33,17163,0.305022392834293,1.213478114855032
478,80364,33,17196,0.3056088718276818,1.213976407346573
479,80331,33,17229,0.3061953508210706,1.214475109235538
480,80298,33,17262,0.3067818298144594,1.2149742210266756
481,80265,33,17295,0.30736830880784816,1.2154737432255653
482,80232,33,17328,0.3079547878012369,1.215973676338618
483,80199,33,17361,0.30854126679462573,1.2164740208730782
484,80166,33,17394,0.3091277457880145,1.2169747773370256
485,80133,33,17427,0.30971422478140326,1.217475946239377
486,80100,33,17460,0.3103007037747921,1.2179775280898877
487,80067,33,17493,0.31088718276818084,1.2184795233991532
488,80034,33,17526,0.31147366176156965,1.2189819326786115
489,80001,33,17559,0.3120601407549584,1.2194847564405444
490,79968,33,17592,0.3126466197483472,1.2199879951980792
491,79936,32,17624,0.31321532665102725,1.220476381104884
492,79904,32,17656,0.31378403355370726,1.2209651581898278
493,79872,32,17688,0.3143527404563873,1.2214543269230769
494,79840,32,17720,0.3149214473590673,1.221943887775551
495,79808,32,17752,0.31549015426174737,1.2224338412189255
496,79776,32,17784,0.3160588611644274,1.2229241877256318
497,79744,32,17816,0.3166275680671074,1.2234149277688604
498,79712,32,17848,0.3171962749697875,1.2239060618225612
499,79680,32,17880,0.3177649818724675,1.2243975903614457
500,79648,32,17912,0.3183336887751475,1.2248895138609883
501,79616,32,17944,0.3189023956778275,1.2253818327974277
