step,u,nodes,q10,q25,median,q75,q90,threshold,candidate_count
0,0.0,97560,0.7020165388806604,0.7660738082795537,0.8348540380598928,0.9567367394589426,1.0333918452435478,0.7939188347469178,194970
41,0.028453117224710316,95959,0.7077848098501217,0.7685846479462928,0.8360156472097591,0.9572480878149764,1.034275505003377,0.7991734838698563,191659
81,0.055910997369730576,94414,0.7106692315773586,0.7694909974915923,0.8360757377466157,0.9575584608259704,1.0351141604299998,0.8043281288261437,188540
122,0.08359991469396459,92856,0.7124513886101352,0.7695302755372231,0.8354991124605717,0.9573303525029877,1.0359110138796734,0.8096122814765011,185480
163,0.11073789720622734,91329,0.713991818220544,0.7699300112925909,0.8352042279757999,0.9576234549362438,1.0378858572945935,0.8148780385681375,182501
203,0.1369695030923438,89853,0.7152255900381619,0.7697895995191446,0.8340994573919529,0.9571184480872426,1.0387622933892409,0.8200522837979418,179597
244,0.1632011089784602,88377,0.7160705067690419,0.7694390648908024,0.8328838655265918,0.9564543641603611,1.0396945806758162,0.8253122332561932,176717
285,0.18914836141323665,86917,0.7176486708664127,0.7696466499767906,0.8324497866590878,0.9567440914284684,1.0424875449721733,0.8306023095969404,173793
325,0.21402928840548802,85517,0.7191579976946142,0.7698790593743938,0.8315153350124622,0.9558131909103005,1.0433404473218382,0.8357591152955023,171015
366,0.23907016421411814,84108,0.7206589722799883,0.7700307702848521,0.8306644938636869,0.9550920359938903,1.0443457034844958,0.8410350232918326,168252
407,0.26384445866211703,82714,0.7217080455331978,0.7699647812232899,0.8297448697054393,0.9541561033738049,1.045368967845971,0.8463424701089804,165532
447,0.28742802303262954,81387,0.7225595000194317,0.7699218448490752,0.8288177916004436,0.953227979677869,1.046238810187354,0.8514785911977472,162880
488,0.31147366176156965,80034,0.723456514423728,0.7697251204893544,0.8275584492095792,0.9520958979210556,1.0473218239178197,0.8568022967364124,160212
529,0.3348261889528684,78720,0.7237976419800669,0.769368632102569,0.8263980942834287,0.9508543224338503,1.048219759598296,0.8620594023089094,157580
569,0.35755669296936093,77441,0.7248017425406023,0.769524210021674,0.8256113513395174,0.950054727599445,1.0500956946530857,0.8672614432566262,155032
610,0.38014502026018343,76170,0.7255042889545147,0.7694463136905687,0.8251268431878314,0.9503948178788215,1.0553921613142332,0.8725167641251236,152444
651,0.40268003127887964,74902,0.7265591669585035,0.7702253170132458,0.8259322093158937,0.954220707664929,1.1043062198123355,0.8778477995164865,149842
691,0.4240065401293808,73702,0.7297859905862653,0.7738004786731119,0.8311444563350587,0.9656256782487489,1.4493626070467698,0.8829767236933834,147433
732,0.44586621170114454,72472,0.7295848447073935,0.7727631911301539,0.8288054682305153,0.96354059946875,1.4645747174134438,0.8883212758875715,144957
773,0.4669972275538494,71283,0.7293811395290088,0.7719629519115849,0.8273280565854988,0.9631307684369519,1.520129998103283,0.8935746084100411,142444
813,0.4876128527760006,70123,0.7296382126994785,0.7713071122624071,0.8253600481816338,0.961505843707569,1.5464349407141138,0.8987849474755532,140019
854,0.5081040733631904,68970,0.7316041692199482,0.7736800345685966,0.8302723668847649,0.9785196220381114,2.5150475756869746,0.9040499680539064,137591
895,0.5285064334968366,67822,0.7351342341750008,0.7775679506052493,0.8382433199536,1.0085451831136119,8.536150935148129,0.9093803395405468,135268
935,0.5479135565507927,66730,0.7339992809635858,0.7760131486684456,0.8360021003607243,1.0089426805787827,9.063769707798693,0.9145350954882174,132999
976,0.5675872609653799,65623,0.7333716953321714,0.7748233302020497,0.8337516304459058,1.0103320065200205,9.492859164125132,0.9198474867152279,130692
1017,0.5869588398379185,64533,0.7338094765621641,0.7741251755345129,0.8314669498061562,1.0099165569461612,9.690096685818547,0.9251665915506241,128440
1058,0.6059038885334471,63467,0.7338992922748659,0.7737506371928901,0.8304338895343423,1.0120170148208707,9.90797327687999,0.9304561980809749,126219
1098,0.6243513186891306,62429,0.7337980070622165,0.7729836857550465,0.8284974389874016,1.0135922459046025,10.219182488739458,0.9356929422165396,124082
1139,0.6425677116656003,61404,0.7327895850694759,0.7719449797681682,0.8282382498509262,1.028747651112675,11.237445328194624,0.940950250953296,121977
1180,0.66078410464207,60379,0.7317626343773096,0.7694746989048928,0.8250667249416498,1.0298288475494912,11.313176640866205,0.9462960612683331,119898
1220,0.678129665173811,59403,0.7319730919902324,0.7690109941264902,0.8236344676897002,1.0334934059130627,11.356095935240662,0.9514713425740416,117843
1261,0.695617402431222,58419,0.731501421571307,0.7680359198527452,0.8214659166156545,1.0366129792511427,11.418684255053687,0.9567758479950461,115748
1302,0.7130695955072155,57437,0.732000180350968,0.7677457902954191,0.8206369059771446,1.0409205482191197,11.466068404426496,0.9621594066669662,113683
1342,0.7294199189592664,56517,0.732546858281751,0.7676341411651184,0.8200378472403945,1.0449919935603604,11.517955647251588,0.9672872385846837,111810
1383,0.7461790004976185,55574,0.7313404896117738,0.7663578335822536,0.8187912911755431,1.049665600552983,11.587918623888777,0.9726306336780601,109751
1424,0.7626537285846307,54647,0.7322344061472936,0.7661586251244361,0.818062738679107,1.0550557882538767,11.67496883314788,0.9779724840563292,107735
1464,0.7782931684083315,53767,0.7852143301102551,0.8745483761695224,11.011144295953782,12.78591033532037,14.024465362650863,0.9831280094973657,105848
1505,0.7947678964953437,52840,0.7860699985538481,0.8839845862674742,11.226596863765886,12.806915397077166,14.073379516727332,0.9886509587201519,104015
1546,0.8142816520935523,51742,0.7882593201470068,0.8982029339449031,11.385861182277784,12.850772663069279,14.0888325331997,0.9953194478445538,101915
1586,0.8327646264306533,50702,0.7924958019842281,0.9254704944947396,11.546710305880728,12.909670961214378,14.093779137015135,1.001767489348808,99915
1627,0.8514608658562594,49650,0.7936033396029686,0.9490832084294111,11.674245931258595,12.959586710939705,14.09631493154143,1.008425917371284,97894
1668,0.8696772588327291,48625,0.8486635706035327,5.690474729717123,12.21210727725399,13.25750201923967,14.120856627198458,1.0150505630336009,95952
1708,0.8871827681808488,47640,0.8601596029247115,6.5598844864612404,12.25373736767874,13.311557633978902,14.123097208119155,1.021549600859574,94133
1749,0.9046705054382598,46656,1.0065239909265433,9.19404718555474,12.460279361491573,13.607127677918093,14.396748864937985,1.0281776189456666,92267
1790,0.9219272055164569,45685,1.119763302048027,9.767278199508159,12.492058938156266,13.630080198866516,14.434359251260371,1.0333918452435478,90407
1830,0.9382775289685078,44765,2.5745841724452916,11.169515740254122,12.677016576883254,13.80593547274059,15.385454393701993,1.0333918452435478,88635
1871,0.9549122058718987,43829,4.878797897910363,11.321524935354736,12.737712765040342,13.832518668906008,15.495198308800203,1.0333918452435478,86950
1912,0.9709426316911921,42927,6.351090196713063,11.45583848950677,12.746398487676442,13.856700771705121,15.576680391968063,1.0333918452435478,85263
1952,0.986582071514893,42047,8.556484213652823,11.727760009627648,12.763704862953619,13.963553452766337,15.926012626993682,1.0333918452435478,83633
1993,1.0,41292,8.831755404489769,11.86684324758344,12.773134406011383,13.98730290141278,15.989147626199598,1.0333918452435478,82176
