u,phi,delta_phi,microstep
0.0,1.025010250102501e-05,0.0,-1
0.0004100041000410004,2.050020500205002e-05,1.025010250102501e-05,0
0.0008200082000820008,3.075030750307503e-05,1.0250102501025007e-05,1
0.0012197621976219762,4.100041000410004e-05,1.0250102501025014e-05,2
0.0016195161951619516,5.125051250512505e-05,1.0250102501025007e-05,3
0.002019270192701927,6.150061500615006e-05,1.0250102501025007e-05,4
0.0024190241902419026,8.200082000820008e-05,2.0500205002050027e-05,5
0.002818778187781878,9.225092250922509e-05,1.0250102501025007e-05,6
0.0032185321853218534,9.225092250922509e-05,0.0,7
0.0036182861828618286,0.0001025010250102501,1.0250102501025007e-05,8
0.004018040180401804,0.00011275112751127512,1.025010250102502e-05,9
0.004417794177941779,0.0001230012300123001,1.0250102501024993e-05,10
0.004817548175481755,0.00017425174251742517,5.125051250512506e-05,11
0.00521730217302173,0.00017425174251742517,0.0,12
0.005617056170561706,0.00017425174251742517,0.0,13
0.006016810168101681,0.00018450184501845018,1.0250102501025007e-05,14
0.006416564165641656,0.00019475194751947519,1.0250102501025007e-05,15
0.006816318163181631,0.00019475194751947519,0.0,16
0.0072160721607216075,0.00019475194751947519,0.0,17
0.007615826158261583,0.00019475194751947519,0.0,18
0.008015580155801559,0.0002050020500205002,1.0250102501025007e-05,19
0.008415334153341534,0.0002050020500205002,0.0,20
0.008815088150881509,0.0002050020500205002,0.0,21
0.009214842148421484,0.0002665026650266503,6.15006150061501e-05,22
0.00961459614596146,0.0002665026650266503,0.0,23
0.010014350143501435,0.0002665026650266503,0.0,24
0.01041410414104141,0.0002665026650266503,0.0,25
0.010813858138581385,0.00027675276752767527,1.025010250102498e-05,26
0.011213612136121362,0.0002870028700287003,1.0250102501025034e-05,27
0.011613366133661337,0.0002972529725297253,1.025010250102498e-05,28
0.012013120131201312,0.0003075030750307503,1.0250102501025034e-05,29
0.012412874128741288,0.0003075030750307503,0.0,30
0.012812628126281263,0.0003075030750307503,0.0,31
0.013212382123821238,0.0003075030750307503,0.0,32
0.013612136121361213,0.0003075030750307503,0.0,33
0.014011890118901188,0.0003075030750307503,0.0,34
0.014411644116441165,0.0003075030750307503,0.0,35
0.01481139811398114,0.0003075030750307503,0.0,36
0.015211152111521116,0.0003075030750307503,0.0,37
0.01561090610906109,0.0003177531775317753,1.025010250102498e-05,38
0.016010660106601068,0.0003177531775317753,0.0,39
0.01641041410414104,0.0003177531775317753,0.0,40
0.016810168101681018,0.0003177531775317753,0.0,41
0.01720992209922099,0.0003177531775317753,0.0,42
0.01760967609676097,0.00032800328003280033,1.0250102501025034e-05,43
0.018009430094300942,0.00033825338253382536,1.0250102501025034e-05,44
0.01840918409184092,0.00036900369003690036,3.0750307503074994e-05,45
0.018808938089380892,0.0003792537925379254,1.0250102501025034e-05,46
0.01920869208692087,0.0003792537925379254,0.0,47
0.019608446084460846,0.00038950389503895037,1.025010250102498e-05,48
0.02000820008200082,0.00038950389503895037,0.0,49
0.020407954079540797,0.0003997539975399754,1.0250102501025034e-05,50
0.02080770807708077,0.0004100041000410004,1.025010250102498e-05,51
0.021207462074620747,0.0004202542025420254,1.0250102501025034e-05,52
0.02160721607216072,0.00043050430504305045,1.0250102501025034e-05,53
0.022006970069700697,0.00044075440754407543,1.025010250102498e-05,54
0.02240672406724067,0.00045100451004510047,1.0250102501025034e-05,55
0.022806478064780648,0.00046125461254612545,1.025010250102498e-05,56
0.023206232062320625,0.0004715047150471505,1.0250102501025034e-05,57
0.023605986059860598,0.00048175481754817546,1.025010250102498e-05,58
0.024005740057400575,0.0004920049200492004,1.025010250102498e-05,59
0.02440549405494055,0.0005022550225502255,1.0250102501025088e-05,60
0.024805248052480525,0.0005125051250512505,1.025010250102498e-05,61
0.0252050020500205,0.0005227552275522755,1.025010250102498e-05,62
0.025604756047560476,0.0005330053300533006,1.0250102501025088e-05,63
0.026004510045100453,0.0005432554325543256,1.025010250102498e-05,64
0.026404264042640426,0.0005535055350553505,1.025010250102498e-05,65
0.026793767937679378,0.0005637556375563755,1.025010250102498e-05,66
0.027183271832718327,0.0005740057400574006,1.0250102501025088e-05,67
0.02757277572775728,0.0005842558425584256,1.025010250102498e-05,68
0.027962279622796227,0.0005945059450594506,1.025010250102498e-05,69
0.02835178351783518,0.0006047560475604757,1.0250102501025088e-05,70
0.028741287412874128,0.0006150061500615006,1.025010250102498e-05,71
0.02913079130791308,0.0006252562525625256,1.025010250102498e-05,72
0.02952029520295203,0.0006355063550635506,1.025010250102498e-05,73
0.02990979909799098,0.0006457564575645757,1.0250102501025088e-05,74
0.03029930299302993,0.0006560065600656007,1.025010250102498e-05,75
0.03068880688806888,0.0006662566625666256,1.025010250102498e-05,76
0.03107831078310783,0.0007277572775727757,6.15006150061501e-05,77
0.03146781467814678,0.0007380073800738007,1.025010250102498e-05,78
0.03185731857318573,0.0007482574825748257,1.025010250102498e-05,79
0.03224682246822468,0.0007585075850758508,1.0250102501025088e-05,80
0.032636326363263635,0.0007687576875768758,1.025010250102498e-05,81
0.03302583025830258,0.0007790077900779007,1.025010250102498e-05,82
0.03341533415334153,0.0007892578925789258,1.0250102501025088e-05,83
0.033804838048380484,0.0007995079950799508,1.025010250102498e-05,84
0.034194341943419436,0.0008917589175891758,9.225092250922504e-05,85
0.03458384583845839,0.0009122591225912259,2.0500205002050068e-05,86
0.03497334973349733,0.0009225092250922509,1.025010250102498e-05,87
0.035362853628536285,0.0009635096350963509,4.100041000410003e-05,88
0.03575235752357524,0.0009840098400984009,2.050020500204996e-05,89
0.03614186141861419,0.001014760147601476,3.075030750307505e-05,90
0.036531365313653134,0.001025010250102501,1.0250102501025088e-05,91
0.036920869208692086,0.001035260352603526,1.0250102501025088e-05,92
0.03731037310373104,0.001045510455104551,1.0250102501024871e-05,93
0.03769987699876999,0.0010660106601066012,2.0500205002050177e-05,94
0.038089380893808936,0.001107011070110701,4.100041000409992e-05,95
0.03847888478884789,0.0011172611726117262,1.0250102501025088e-05,96
0.03886838868388684,0.001127511275112751,1.0250102501024871e-05,97
0.03925789257892579,0.0011377613776137761,1.0250102501025088e-05,98
0.03964739647396474,0.0011480114801148012,1.0250102501025088e-05,99
0.04003690036900369,0.001158261582615826,1.0250102501024871e-05,100
0.04042640426404264,0.0011685116851168512,1.0250102501025088e-05,101
0.04081590815908159,0.0011787617876178763,1.0250102501025088e-05,102
0.04120541205412054,0.0011890118901189011,1.0250102501024871e-05,103
0.04159491594915949,0.0011992619926199262,1.0250102501025088e-05,104
0.04198441984419844,0.0012095120951209513,1.0250102501025088e-05,105
0.042373923739237394,0.0012300123001230013,2.050020500204996e-05,106
0.04276342763427634,0.0012402624026240261,1.0250102501024871e-05,107
0.04315293152931529,0.0012505125051250512,1.0250102501025088e-05,108
0.043542435424354244,0.0012607626076260763,1.0250102501025088e-05,109
0.043931939319393196,0.0012812628126281263,2.050020500204996e-05,110
0.04432144321443215,0.0012915129151291514,1.0250102501025088e-05,111
0.04471094710947109,0.0013017630176301762,1.0250102501024871e-05,112
0.045100451004510045,0.0013120131201312013,1.0250102501025088e-05,113
0.045489954899549,0.0013222632226322264,1.0250102501025088e-05,114
0.04587945879458795,0.0013325133251332513,1.0250102501024871e-05,115
0.046268962689626894,0.0013427634276342764,1.0250102501025088e-05,116
