u,null_lo,null_median,null_hi
0.0,4.0973531098910105e-05,4.0973531098910105e-05,4.0973531098910105e-05
0.00040973531098910105,8.194706219782021e-05,8.194706219782021e-05,8.194706219782021e-05
0.0008194706219782021,8.194706219782021e-05,8.194706219782021e-05,8.194706219782021e-05
0.0012292059329673032,8.194706219782021e-05,8.194706219782021e-05,8.194706219782021e-05
0.0016389412439564042,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.002048676554945505,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.0024584118659346063,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.002868147176923707,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.0032778824879128084,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.0036876177989019093,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.00409735310989101,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.004507088420880111,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.004916823731869213,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.005326559042858314,8.194706219782021e-05,8.194706219782021e-05,0.00012292059329673032
0.005736294353847414,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.006146029664836516,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.006555764975825617,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.006965500286814717,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.0073752355978038186,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.00778497090879292,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.00819470621978202,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.008604441530771122,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.009014176841760223,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.009423912152749323,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.009833647463738425,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.010243382774727526,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.010653118085716628,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.011062853396705728,8.194706219782021e-05,0.00012292059329673032,0.00012292059329673032
0.011472588707694829,8.194706219782021e-05,0.00012292059329673032,0.00016389412439564042
0.01188232401868393,8.194706219782021e-05,0.00012292059329673032,0.00016389412439564042
0.012292059329673031,8.194706219782021e-05,0.00012292059329673032,0.00016389412439564042
0.012701794640662132,8.194706219782021e-05,0.00012292059329673032,0.00016389412439564042
0.013111529951651234,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.013521265262640334,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.013931000573629435,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.014340735884618537,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.014750471195607637,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.01516020650659674,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.01556994181758584,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.01597967712857494,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.01638941243956404,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.016799147750553144,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.017208883061542245,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.017618618372531345,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.018028353683520446,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
0.018438088994509546,0.00012292059329673032,0.00012292059329673032,0.00016389412439564042
