mass,count,pmf_collective,sample,state,u
2,388,0.31493506493506496,nondiseased_kidney,early,0.100030750307503
3,202,0.16396103896103897,nondiseased_kidney,early,0.100030750307503
4,135,0.10957792207792208,nondiseased_kidney,early,0.100030750307503
5,66,0.05357142857142857,nondiseased_kidney,early,0.100030750307503
6,47,0.03814935064935065,nondiseased_kidney,early,0.100030750307503
7,44,0.03571428571428571,nondiseased_kidney,early,0.100030750307503
8,36,0.02922077922077922,nondiseased_kidney,early,0.100030750307503
9,34,0.027597402597402596,nondiseased_kidney,early,0.100030750307503
10,35,0.028409090909090908,nondiseased_kidney,early,0.100030750307503
11,29,0.02353896103896104,nondiseased_kidney,early,0.100030750307503
12,18,0.01461038961038961,nondiseased_kidney,early,0.100030750307503
13,13,0.010551948051948052,nondiseased_kidney,early,0.100030750307503
14,10,0.008116883116883116,nondiseased_kidney,early,0.100030750307503
15,10,0.008116883116883116,nondiseased_kidney,early,0.100030750307503
16,13,0.010551948051948052,nondiseased_kidney,early,0.100030750307503
17,6,0.00487012987012987,nondiseased_kidney,early,0.100030750307503
18,11,0.008928571428571428,nondiseased_kidney,early,0.100030750307503
19,8,0.006493506493506494,nondiseased_kidney,early,0.100030750307503
20,10,0.008116883116883116,nondiseased_kidney,early,0.100030750307503
21,6,0.00487012987012987,nondiseased_kidney,early,0.100030750307503
22,5,0.004058441558441558,nondiseased_kidney,early,0.100030750307503
23,5,0.004058441558441558,nondiseased_kidney,early,0.100030750307503
25,6,0.00487012987012987,nondiseased_kidney,early,0.100030750307503
26,8,0.006493506493506494,nondiseased_kidney,early,0.100030750307503
27,3,0.002435064935064935,nondiseased_kidney,early,0.100030750307503
28,6,0.00487012987012987,nondiseased_kidney,early,0.100030750307503
29,3,0.002435064935064935,nondiseased_kidney,early,0.100030750307503
30,3,0.002435064935064935,nondiseased_kidney,early,0.100030750307503
31,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
32,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
33,5,0.004058441558441558,nondiseased_kidney,early,0.100030750307503
34,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
35,3,0.002435064935064935,nondiseased_kidney,early,0.100030750307503
36,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
37,1,0.0008116883116883117,nondiseased_kidney,early,0.100030750307503
38,2,0.0016233766233766235,nondiseased_kidney,early,0.100030750307503
