gene,effect_log1p_norm
UMOD,-0.9815205510850898
GATM,-0.7320794578337972
KNG1,-0.6768527399353992
GLYATL1,-0.6656510726301934
SLC22A8,-0.6484239994043759
FXYD2,-0.5795212748409773
PDGFRB,0.5652591194430374
PLCG2,0.5830128349809662
DST,0.6345423386286697
TNC,0.6655699891191456
CFB,0.6748079258995974
C7,0.7111866786921275
MYLK,0.8264439779818047
CAVIN1,0.983052573825291
ACTA2,1.155014044424413
