u,null_lo,null_median,null_hi
0.0,1.025010250102501e-05,1.025010250102501e-05,1.025010250102501e-05
0.0004100041000410004,2.050020500205002e-05,2.050020500205002e-05,2.050020500205002e-05
0.0008200082000820008,2.050020500205002e-05,2.050020500205002e-05,3.075030750307503e-05
0.0012197621976219762,2.050020500205002e-05,2.050020500205002e-05,3.075030750307503e-05
0.0016195161951619516,2.050020500205002e-05,2.050020500205002e-05,3.075030750307503e-05
0.002019270192701927,2.050020500205002e-05,2.050020500205002e-05,3.075030750307503e-05
0.0024190241902419026,2.050020500205002e-05,2.050020500205002e-05,3.075030750307503e-05
0.002818778187781878,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.0032185321853218534,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.0036182861828618286,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.004018040180401804,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.004417794177941779,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.004817548175481755,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.00521730217302173,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.005617056170561706,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.006016810168101681,2.050020500205002e-05,3.075030750307503e-05,3.075030750307503e-05
0.006416564165641656,3.075030750307503e-05,3.075030750307503e-05,3.075030750307503e-05
0.006816318163181631,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.0072160721607216075,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.007615826158261583,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.008015580155801559,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.008415334153341534,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.008815088150881509,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.009214842148421484,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.00961459614596146,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.010014350143501435,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.01041410414104141,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
0.010813858138581385,3.075030750307503e-05,3.075030750307503e-05,4.100041000410004e-05
