gene,effect_log1p_norm
CAPN3,-0.6107819400539789
UGT8,-0.5875823106765456
SOX2,-0.4979803512207206
LINGO1,-0.49681955279290957
OPALIN,-0.442357784193979
NOTCH1,-0.4194528416663772
NTNG1,0.4170820132417501
SAMD5,0.42249056533800533
PTCHD4,0.44344002597827126
HS3ST4,0.49556079632068095
GAD2,0.5398831003466635
VWC2L,0.6200687522159891
