gene,effect_log1p_norm
COL25A1,0.132405292502701
GJA1,0.13286491139344936
NES,0.13327385870256864
FGFR2,0.14583243380883548
EFHD1,0.15711691924154336
UGT8,0.16797960431372627
HHATL,0.1705813251556021
PCSK6,0.19416528402575095
CNTN2,0.20492756554061597
MOBP,0.22435456769169004
CD74,0.24764872724390763
ERMN,0.28181383057836173
