gene
ABCC9
ADAMTS12
ADAMTS16
ADAMTS3
ADRA1A
ADRA1B
AIF1
ALK
ANGPT1
ANK1
ANKRD18A
ANO3
ANXA1
APOE
APP
AQP4
ARHGAP24
ATP2C2
B4GALNT1
BCAN
BEX1
BLANK_0001
BLANK_0005
BLANK_0007
BLANK_0008
BLANK_0012
BLANK_0013
BLANK_0014
BLANK_0016
BLANK_0019
BLANK_0020
BLANK_0021
BLANK_0022
BLANK_0026
BLANK_0030
BLANK_0032
BLANK_0038
BLANK_0039
BLANK_0040
BLANK_0041
BLANK_0044
BLANK_0045
BLANK_0047
BLANK_0051
BLANK_0054
BLANK_0055
BLANK_0058
BLANK_0062
BLANK_0063
BLANK_0064
BLANK_0066
BLANK_0067
BLANK_0071
BLANK_0074
BLANK_0077
BLANK_0078
BLANK_0079
BLANK_0080
BLANK_0084
BLANK_0086
BLANK_0095
BLANK_0096
BLANK_0099
BLANK_0100
BLANK_0101
BLANK_0102
BLANK_0106
BLANK_0107
BLANK_0108
BLANK_0111
BLANK_0112
BLANK_0113
BLANK_0116
BLANK_0118
BLANK_0123
BLANK_0124
BLANK_0125
BLANK_0128
BLANK_0131
BLANK_0132
BLANK_0133
BLANK_0135
BLANK_0138
BLANK_0139
BLANK_0140
BLANK_0144
BLANK_0150
BLANK_0155
BLANK_0157
BLANK_0159
BLANK_0162
BLANK_0164
BLANK_0166
BLANK_0168
BLANK_0172
BLANK_0175
BLANK_0183
BLANK_0184
BLANK_0190
BLANK_0191
BLANK_0192
BLANK_0193
BLANK_0194
BLANK_0195
BLANK_0200
BLANK_0203
BLANK_0208
BLANK_0210
BLANK_0212
BLANK_0213
BLANK_0215
BLANK_0224
BLANK_0225
BLANK_0232
BLANK_0235
BLANK_0238
BLANK_0242
BLANK_0243
BLANK_0247
BLANK_0249
BLANK_0253
BLANK_0254
BLANK_0255
BLANK_0258
BLANK_0259
BLANK_0260
BLANK_0261
BLANK_0265
BLANK_0267
BLANK_0268
BLANK_0271
BLANK_0275
BLANK_0279
BLANK_0280
BLANK_0281
BLANK_0284
BLANK_0290
BLANK_0296
BLANK_0297
BLANK_0299
BLANK_0300
BLANK_0303
BLANK_0304
BLANK_0308
BLANK_0310
BLANK_0312
BLANK_0315
BRINP3
BTBD11
C1orf162
C3
CALCRL
CAPG
CAPN3
CAV1
CCL4
CCL5
CCNA1
CCNB2
CD14
CD163
CD2
CD36
CD3G
CD4
CD48
CD52
CD68
CD74
CD83
CD86
CDH1
CDH12
CDH4
CDH6
CDK1
CEMIP
CEMIP2
CENPF
CH25H
CHI3L1
CHODL
CLDN11
CNDP1
CNTN2
CNTNAP3B
COL12A1
COL25A1
CORO1A
CRHBP
CRYM
CSPG4
CTNNA3
CTSH
CTSS
CUX2
CX3CR1
CXCR4
CYTIP
DCN
DDR2
DNER
EFHD1
EGFR
ELOVL2
ERBB3
ERMN
EYA4
FASLG
FBLN1
FCER1G
FCGR1A
FCGR3A
FGFR2
FGFR3
FILIP1
FLT1
FSTL4
GAD1
GAD2
GAS2L3
GJA1
GNLY
GPNMB
GPR183
GPR34
GZMA
HES1
HHATL
HILPDA
HLA-DMB
HLA-DQA1
HS3ST2
HS3ST4
HTR2A
HTR2C
IDH1
IDH2
IDO1
IFITM3
IGFBP3
IGFBP4
IGFBP5
IL7R
ITGA8
ITGAM
ITGAX
ITGB2
KCNH5
KIT
KLF2
KLF4
KLK6
KLRB1
LAMA2
LAMP5
LHX6
LINGO1
LOX
LRRK1
LRRK2
LY86
LYPD6
LYPD6B
LYVE1
MAG
MAL
MCTP2
MEIS2
MEPE
MGST1
MKI67
MOBP
MS4A6A
MYO16
MYO5B
MYRF
NCSTN
NDST4
NES
NKG7
NNAT
NOTCH1
NPFFR2
NPY1R
NR2F2
NR4A2
NRGN
NRP1
NTNG1
NTNG2
NWD2
NXPH2
NegControlCodeword_0500
NegControlCodeword_0501
NegControlCodeword_0502
NegControlCodeword_0503
NegControlCodeword_0504
NegControlCodeword_0505
NegControlCodeword_0506
NegControlCodeword_0507
NegControlCodeword_0508
NegControlCodeword_0509
NegControlCodeword_0510
NegControlCodeword_0511
NegControlCodeword_0512
NegControlCodeword_0513
NegControlCodeword_0514
NegControlCodeword_0515
NegControlCodeword_0516
NegControlCodeword_0517
NegControlCodeword_0518
NegControlCodeword_0519
NegControlCodeword_0520
NegControlCodeword_0521
NegControlCodeword_0522
NegControlCodeword_0523
NegControlCodeword_0524
NegControlCodeword_0525
NegControlCodeword_0526
NegControlCodeword_0527
NegControlCodeword_0528
NegControlCodeword_0529
NegControlCodeword_0530
NegControlCodeword_0531
NegControlCodeword_0532
NegControlCodeword_0533
NegControlCodeword_0534
NegControlCodeword_0535
NegControlCodeword_0536
NegControlCodeword_0537
NegControlCodeword_0538
NegControlCodeword_0539
NegControlCodeword_0540
NegControlProbe_00002
NegControlProbe_00003
NegControlProbe_00004
NegControlProbe_00009
NegControlProbe_00012
NegControlProbe_00013
NegControlProbe_00014
NegControlProbe_00016
NegControlProbe_00017
NegControlProbe_00019
NegControlProbe_00022
NegControlProbe_00024
NegControlProbe_00025
NegControlProbe_00031
NegControlProbe_00033
NegControlProbe_00034
NegControlProbe_00035
