gene
ABCC11
ACE2
ACKR1
ACTA2
ACTG2
ADAM28
ADAMTS1
ADGRE1
ADGRL4
ADH1C
ADH4
ADIPOQ
AGER
AGR3
AHSP
AIF1
ALAS2
ALDH1A3
AMY2A
ANGPT2
ANPEP
APCDD1
APOA5
APOBEC3A
APOLD1
AQP2
AQP3
AQP8
AQP9
AR
ARFGEF3
ASCL1
ASCL3
ASPN
BAMBI
BANK1
BASP1
BBOX1
BCL2L11
BLANK_0006
BLANK_0037
BLANK_0069
BLANK_0400
BLANK_0401
BLANK_0402
BLANK_0403
BLANK_0404
BLANK_0405
BLANK_0406
BLANK_0407
BLANK_0408
BLANK_0409
BLANK_0410
BLANK_0411
BLANK_0412
BLANK_0413
BLANK_0414
BLANK_0415
BLANK_0416
BLANK_0417
BLANK_0418
BLANK_0419
BLANK_0420
BLANK_0421
BLANK_0422
BLANK_0423
BLANK_0424
BLANK_0425
BLANK_0426
BLANK_0427
BLANK_0428
BLANK_0429
BLANK_0430
BLANK_0431
BLANK_0432
BLANK_0433
BLANK_0434
BLANK_0435
BLANK_0436
BLANK_0437
BLANK_0438
BLANK_0439
BLANK_0440
BLANK_0441
BLANK_0442
BLANK_0443
BLANK_0444
BLANK_0445
BLANK_0446
BLANK_0447
BLANK_0448
BLANK_0449
BLANK_0450
BLANK_0451
BLANK_0452
BLANK_0453
BLANK_0454
BLANK_0455
BLANK_0456
BLANK_0457
BLANK_0458
BLANK_0459
BLANK_0460
BLANK_0461
BLANK_0462
BLANK_0463
BLANK_0464
BLANK_0465
BLANK_0466
BLANK_0467
BLANK_0468
BLANK_0469
BLANK_0470
BLANK_0471
BLANK_0472
BLANK_0473
BLANK_0474
BLANK_0475
BLANK_0476
BLANK_0477
BLANK_0478
BLANK_0479
BLANK_0480
BLANK_0481
BLANK_0482
BLANK_0483
BLANK_0484
BLANK_0485
BLANK_0486
BLANK_0487
BLANK_0488
BLANK_0489
BLANK_0490
BLANK_0491
BLANK_0492
BLANK_0493
BLANK_0494
BLANK_0495
