gene,effect_log1p_norm
CAPN3,-0.6107819400539789
UGT8,-0.5875823106765456
APOD,-0.582044839626715
SOX2,-0.4979803512207206
LINGO1,-0.49681955279290957
PTCHD4,0.44344002597827126
HS3ST4,0.49556079632068095
CCK,0.5269034351617652
GAD2,0.5398831003466635
VWC2L,0.6200687522159891
MMD,0.6669137380414472
SYNPR,0.9682659774916833
