u,phi,delta_phi,microstep
0.0,2.4457651576295644e-05,0.0,-1
0.00041578007679702597,4.891530315259129e-05,2.4457651576295644e-05,0
0.0008315601535940519,9.783060630518258e-05,4.891530315259129e-05,1
0.001247340230391078,9.783060630518258e-05,0.0,2
0.0016631203071881039,0.00014674590945777387,4.891530315259129e-05,3
0.0020789003839851296,0.00014674590945777387,0.0,4
0.002494680460782156,0.0002445765157629564,9.783060630518255e-05,5
0.002910460537579182,0.0002690341673392521,2.4457651576295658e-05,6
0.0033262406143762077,0.0002690341673392521,0.0,7
0.0037420206911732336,0.00029349181891554773,2.4457651576295658e-05,8
0.004157800767970259,0.00029349181891554773,0.0,9
0.0045735808447672855,0.00029349181891554773,0.0,10
0.004989360921564312,0.0003179494704918434,2.4457651576295658e-05,11
0.005405140998361337,0.0003179494704918434,0.0,12
0.005820921075158364,0.0003179494704918434,0.0,13
0.006236701151955389,0.0003179494704918434,0.0,14
0.0066524812287524155,0.0003179494704918434,0.0,15
0.007068261305549441,0.0003179494704918434,0.0,16
0.007484041382346467,0.0003179494704918434,0.0,17
0.007899821459143494,0.00036686477364443465,4.891530315259126e-05,18
0.008315601535940518,0.00036686477364443465,0.0,19
0.008731381612737545,0.00036686477364443465,0.0,20
0.009147161689534571,0.00036686477364443465,0.0,21
0.009562941766331597,0.00036686477364443465,0.0,22
0.009978721843128624,0.00036686477364443465,0.0,23
0.010394501919925648,0.00036686477364443465,0.0,24
0.010810281996722675,0.00036686477364443465,0.0,25
0.011226062073519701,0.00036686477364443465,0.0,26
0.011641842150316727,0.00036686477364443465,0.0,27
0.012057622227113752,0.00036686477364443465,0.0,28
0.012473402303910778,0.00036686477364443465,0.0,29
0.012889182380707805,0.00036686477364443465,0.0,30
0.013304962457504831,0.00036686477364443465,0.0,31
0.013720742534301856,0.00036686477364443465,0.0,32
0.014136522611098882,0.00036686477364443465,0.0,33
0.014552302687895908,0.00036686477364443465,0.0,34
0.014968082764692935,0.00036686477364443465,0.0,35
0.015383862841489961,0.00036686477364443465,0.0,36
0.015799642918286987,0.00036686477364443465,0.0,37
0.016215422995084012,0.00036686477364443465,0.0,38
0.016631203071881036,0.00036686477364443465,0.0,39
0.017046983148678065,0.00036686477364443465,0.0,40
0.01746276322547509,0.00036686477364443465,0.0,41
0.017878543302272117,0.00036686477364443465,0.0,42
0.018294323379069142,0.00036686477364443465,0.0,43
0.018710103455866166,0.00036686477364443465,0.0,44
0.019125883532663195,0.00036686477364443465,0.0,45
0.01954166360946022,0.00036686477364443465,0.0,46
0.019957443686257247,0.00036686477364443465,0.0,47
0.020373223763054272,0.00036686477364443465,0.0,48
0.020789003839851296,0.00036686477364443465,0.0,49
0.021204783916648325,0.00036686477364443465,0.0,50
0.02162056399344535,0.00036686477364443465,0.0,51
0.022036344070242374,0.00036686477364443465,0.0,52
0.022427666495463107,0.00036686477364443465,0.0,53
0.022818988920683837,0.0003913224252207303,2.4457651576295658e-05,54
0.023210311345904566,0.0003913224252207303,0.0,55
0.023601633771125296,0.0003913224252207303,0.0,56
0.023992956196346026,0.00041578007679702597,2.4457651576295658e-05,57
0.02438427862156676,0.00041578007679702597,0.0,58
0.02477560104678749,0.00041578007679702597,0.0,59
0.025166923472008218,0.00041578007679702597,0.0,60
0.025558245897228948,0.00041578007679702597,0.0,61
0.025949568322449677,0.00041578007679702597,0.0,62
0.026340890747670407,0.00041578007679702597,0.0,63
0.02673221317289114,0.00041578007679702597,0.0,64
0.02712353559811187,0.00041578007679702597,0.0,65
0.0275148580233326,0.00041578007679702597,0.0,66
0.02790618044855333,0.00041578007679702597,0.0,67
0.02829750287377406,0.00041578007679702597,0.0,68
0.028688825298994792,0.00041578007679702597,0.0,69
0.02908014772421552,0.00041578007679702597,0.0,70
0.02947147014943625,0.00041578007679702597,0.0,71
0.02986279257465698,0.00041578007679702597,0.0,72
0.03025411499987771,0.00041578007679702597,0.0,73
0.030645437425098444,0.00041578007679702597,0.0,74
0.031036759850319173,0.00041578007679702597,0.0,75
0.0314280822755399,0.00041578007679702597,0.0,76
0.03181940470076063,0.00041578007679702597,0.0,77
0.032210727125981366,0.00041578007679702597,0.0,78
0.03260204955120209,0.00041578007679702597,0.0,79
0.032993371976422825,0.00041578007679702597,0.0,80
0.03338469440164355,0.0006358989409836868,0.0002201188641866608,81
0.033776016826864284,0.0006358989409836868,0.0,82
0.03416733925208502,0.0006358989409836868,0.0,83
0.034558661677305744,0.0006358989409836868,0.0,84
0.03494998410252648,0.0006358989409836868,0.0,85
0.0353413065277472,0.0006358989409836868,0.0,86
0.035732628952967936,0.0006603565925599824,2.4457651576295604e-05,87
0.03612395137818867,0.0006603565925599824,0.0,88
0.036515273803409395,0.0006603565925599824,0.0,89
0.03690659622863013,0.0006603565925599824,0.0,90
0.037297918653850855,0.0006603565925599824,0.0,91
0.03768924107907159,0.0006603565925599824,0.0,92
0.03808056350429232,0.0006603565925599824,0.0,93
0.03847188592951305,0.0006603565925599824,0.0,94
0.03886320835473378,0.0006603565925599824,0.0,95
0.039254530779954507,0.0006603565925599824,0.0,96
0.03964585320517524,0.0006603565925599824,0.0,97
0.04003717563039597,0.0006603565925599824,0.0,98
0.0404284980556167,0.0006603565925599824,0.0,99
0.04081982048083743,0.0006603565925599824,0.0,100
0.04121114290605816,0.0006603565925599824,0.0,101
0.04160246533127889,0.0006603565925599824,0.0,102
0.04199378775649962,0.0006603565925599824,0.0,103
0.04238511018172035,0.0006603565925599824,0.0,104
0.042776432606941084,0.0006603565925599824,0.0,105
0.04316775503216181,0.0006603565925599824,0.0,106
0.04355907745738254,0.0006603565925599824,0.0,107
0.04395039988260327,0.0006603565925599824,0.0,108
0.044341722307824,0.0006603565925599824,0.0,109
0.044733044733044736,0.0006603565925599824,0.0,110
0.04512436715826546,0.0006603565925599824,0.0,111
0.045515689583486195,0.0006603565925599824,0.0,112
0.04590701200870692,0.0006603565925599824,0.0,113
0.046298334433927654,0.0006603565925599824,0.0,114
0.04668965685914839,0.0006603565925599824,0.0,115
0.047080979284369114,0.0006603565925599824,0.0,116
0.04747230170958985,0.0006603565925599824,0.0,117
0.04786362413481057,0.0006603565925599824,0.0,118
0.048254946560031306,0.0006603565925599824,0.0,119
0.04864626898525204,0.0006603565925599824,0.0,120
0.049037591410472765,0.0006603565925599824,0.0,121
0.0494289138356935,0.0006603565925599824,0.0,122
0.049820236260914225,0.0006603565925599824,0.0,123
0.05021155868613496,0.0006603565925599824,0.0,124
0.05060288111135569,0.0006603565925599824,0.0,125
0.05099420353657642,0.000684814244136278,2.4457651576295604e-05,126
0.05138552596179715,0.0007092718957125737,2.4457651576295712e-05,127
0.051776848387017876,0.0007092718957125737,0.0,128
0.05216817081223861,0.0007092718957125737,0.0,129
0.052559493237459336,0.0007092718957125737,0.0,130
0.05295081566268007,0.0007092718957125737,0.0,131
0.0533421380879008,0.0007092718957125737,0.0,132
0.05373346051312153,0.0007092718957125737,0.0,133
0.05412478293834226,0.0007092718957125737,0.0,134
0.05451610536356299,0.0007092718957125737,0.0,135
0.05490742778878372,0.0007092718957125737,0.0,136
0.055298750214004454,0.0007092718957125737,0.0,137
0.05569007263922518,0.0007092718957125737,0.0,138
0.05608139506444591,0.0007092718957125737,0.0,139
0.05647271748966664,0.0007092718957125737,0.0,140
0.05686403991488737,0.0007092718957125737,0.0,141
0.057255362340108105,0.0007337295472888693,2.4457651576295604e-05,142
0.05764668476532883,0.0007337295472888693,0.0,143
0.058038007190549565,0.0007337295472888693,0.0,144
0.05842932961577029,0.0007337295472888693,0.0,145
0.058820652040991024,0.0007337295472888693,0.0,146
0.05921197446621176,0.0007337295472888693,0.0,147
0.05960329689143248,0.0007337295472888693,0.0,148
0.05999461931665322,0.0007337295472888693,0.0,149
0.06038594174187394,0.0007337295472888693,0.0,150
0.060777264167094676,0.0007337295472888693,0.0,151
0.06116858659231541,0.0007337295472888693,0.0,152
0.061559909017536135,0.0007337295472888693,0.0,153
0.06195123144275687,0.0009783060630518257,0.00024457651576295636,154
0.062342553867977595,0.0010027637146281215,2.445765157629582e-05,155
0.06273387629319832,0.001027221366204417,2.4457651576295604e-05,156
0.06312519871841905,0.001443001443001443,0.0004157800767970259,157
