gene,effect_log1p_norm
OLIG2,-0.8300214799724166
OPALIN,-0.7706286243256901
AQP4,-0.7440946762127179
IDH2,-0.6320380773989664
PTPRZ1,-0.6311381721324529
BEX1,-0.5796195377942184
GJA1,-0.5784679604699856
TMIGD3,0.562224285994694
AIF1,0.589840412193916
VSIG4,0.6331205956135186
CD68,0.6664600081752066
CD74,0.6711152835861132
