step,u,nodes,q10,q25,median,q75,q90,threshold,candidate_count
0,0.0,24406,0.5607177703277788,0.6424049893595648,0.7988531146904935,1.6732474796780767,9.293919621339109,0.7015515781000249,41531
38,0.027686703096539162,24026,0.5667579569895773,0.6491970009995082,0.8040662301888596,1.7236710205809098,9.41190777843619,0.7059551967050168,40915
75,0.0546448087431694,23656,0.572284157309641,0.6548812489215211,0.8101119068234186,1.7728904520504787,9.524998793602425,0.7103103713041986,40291
113,0.08233151183970856,23276,0.5776260382254976,0.6612232088705938,0.8166427234994069,1.8289043260438604,9.64593018797655,0.714854740615476,39646
150,0.1092896174863388,22906,0.5827924199465343,0.6669234557508318,0.823358993737323,1.8894540398156199,9.789335891449554,0.7193513780588234,38999
188,0.13697632058287795,22526,0.587797545563366,0.6725145929680407,0.8302971710768805,1.9474505292024546,9.937450491669972,0.7240457928628027,38370
225,0.16145719489981786,22190,0.5918731516816051,0.6775924157412698,0.8365383436369926,2.0105983681929374,10.04893150377012,0.7282630889856713,37806
263,0.1863752276867031,21848,0.5967291522930993,0.6832804677085229,0.8429918860137315,2.0801029408629623,10.1742191876853,0.7326217876255006,37236
300,0.21063752276867032,21515,0.6018756600167284,0.6880831883273508,0.8507503343067524,2.136824248449609,10.296646333771376,0.7369318449184488,36672
338,0.23555555555555555,21173,0.6069574170117218,0.6935314822031852,0.8590303543922446,2.221796512358352,10.446716293552372,0.7414283923942225,36076
376,0.2604735883424408,20831,0.6117660608504881,0.6994460941253602,0.8674231677883242,2.3303983944753037,10.564652044716668,0.7459981655942599,35503
413,0.28473588342440803,20498,0.6170237363356688,0.7052847320842693,0.8753614645432715,2.446346578765735,10.681252610675694,0.7505203506201928,34930
451,0.30965391621129323,20156,0.6224607105446124,0.7105862452811869,0.8829229011260329,2.5717172901692513,10.791252648659139,0.7552418796184334,34373
488,0.3325318761384335,19842,0.628132689593448,0.716677269346721,0.8915219412587188,2.7322466404417627,10.917419163943586,0.7596479343416862,33819
526,0.35468123861566486,19538,0.63334784365251,0.7220659543195127,0.8996709749765192,2.88726880572271,11.02318270461616,0.7639806091288565,33317
563,0.37624772313296906,19242,0.6386148834259728,0.727647135883217,0.9093671636581621,3.0774142059024947,11.094468134947979,0.7682645348632924,32810
601,0.3983970856102004,18938,0.6444019763160809,0.7338931338541391,0.9183771223266795,3.290139130138337,11.244116489994758,0.7727333915822173,32288
638,0.41996357012750457,18642,0.6503903670070985,0.7391742501110852,0.9265170503642098,3.495793443276576,11.437903893235049,0.7771541166839128,31784
676,0.4421129326047359,18338,0.6563475970105791,0.7450607931577757,0.9347294064523308,3.6721588349329095,11.578359452989615,0.781767994113524,31284
713,0.4636794171220401,18042,0.6636890116616528,0.7501548728817701,0.9445788908157865,3.9035713653528163,11.724324845017197,0.786334543858393,30777
751,0.4858287795992714,17738,0.670617495682579,0.7562636091505428,0.9557770770359961,4.09904100169882,11.905668527130477,0.7911031701718102,30258
789,0.5073952641165755,17442,0.6769699313875628,0.7622542429007797,0.9694058933583998,4.366727283500428,12.010926469979767,0.7958254934831488,29753
826,0.5262659380692167,17183,0.6833639415456843,0.7679105782386264,0.9811444074591973,4.5627259104675755,12.124333628358242,0.8000237374741708,29307
864,0.5456466302367942,16917,0.6895178491182636,0.7727563806102734,0.9953899055846083,4.722658925346198,12.276570475477593,0.8044018372979345,28869
901,0.5645173041894354,16658,0.6958221848610887,0.7781656110607225,1.0112832107584948,4.935480991584533,12.429652881768323,0.8087313792316199,28425
939,0.5838979963570128,16392,0.7032571100469733,0.7843427045748353,1.0287730016775818,5.146422905493094,12.693070392524211,0.8132485773999896,27965
976,0.6027686703096539,16133,0.7101235432041307,0.7901567683245038,1.046313808112794,5.354364193445299,12.867271998119191,0.8177178951434857,27529
1014,0.6221493624772313,15867,0.7172972493863864,0.7968297690588738,1.0654560199818037,5.543825138001728,13.107191457127108,0.8223833205964856,27073
1051,0.6410200364298725,15608,0.7244933878430986,0.803427579949862,1.0886571724568834,5.709562693863479,13.327616709154858,0.8270017405500836,26632
1089,0.6604007285974499,15342,0.7320884478450449,0.8117743319558685,1.1299978562957742,5.952018836630422,13.46009649740308,0.8318254514316078,26192
1127,0.6797814207650273,15076,0.7390832875946542,0.8201352750640561,1.1578837318536674,6.087956913001857,13.607857672413525,0.8367335315649548,25734
1164,0.6967577413479052,14843,0.7458315370655315,0.8297064923824072,1.1997706621940787,6.244911259106032,13.82942382726489,0.8411043948254867,25328
1202,0.7133697632058288,14615,0.7531438795632288,0.8398569234267144,1.2386384506197432,6.450437125710399,14.108393705626867,0.8454483952038527,24939
1239,0.7295446265938069,14393,0.7601785781928635,0.8489177698966737,1.2690723679612046,6.570003594679549,14.243479554273707,0.8497436928062228,24544
1277,0.7461566484517305,14165,0.7685989414355675,0.8603388795167002,1.3246221493680461,6.764154799493795,14.40139153696567,0.8542245992684986,24154
1314,0.7623315118397086,13943,0.7764188776270411,0.8721565199270511,1.3703385798504244,6.964088286478516,14.718418040141746,0.8586574351560987,23766
1352,0.778943533697632,13715,0.7852196068100238,0.8858646267945942,1.438336613700736,7.176030347826308,14.954652139460679,0.863284158222986,23379
1389,0.7951183970856102,13493,0.7973295767371078,0.9077344279306545,1.564118061062802,7.530592612823593,15.19067335765779,0.8678636321047097,22962
1427,0.8117304189435337,13265,0.8092024268054008,0.9291696209134725,1.6807443722765385,7.701451741115929,15.427745141445069,0.8726459814906481,22564
